pattern,mu,x,y,r,n
clumped,0.25,1,1,2,100
clumped,0.25,2,1,1,100
clumped,0.25,3,1,7,100
clumped,0.25,4,1,4,100
clumped,0.25,5,1,3,100
clumped,0.25,6,1,3,100
clumped,0.25,7,1,1,100
clumped,0.25,8,1,12,100
clumped,0.25,9,1,32,100
clumped,0.25,10,1,35,100
clumped,0.25,11,1,6,100
clumped,0.25,12,1,6,100
clumped,0.25,1,2,5,100
clumped,0.25,2,2,5,100
clumped,0.25,3,2,20,100
clumped,0.25,4,2,24,100
clumped,0.25,5,2,37,100
clumped,0.25,6,2,9,100
clumped,0.25,7,2,2,100
clumped,0.25,8,2,24,100
clumped,0.25,9,2,72,100
clumped,0.25,10,2,61,100
clumped,0.25,11,2,22,100
clumped,0.25,12,2,3,100
clumped,0.25,1,3,11,100
clumped,0.25,2,3,25,100
clumped,0.25,3,3,75,100
clumped,0.25,4,3,69,100
clumped,0.25,5,3,35,100
clumped,0.25,6,3,15,100
clumped,0.25,7,3,34,100
clumped,0.25,8,3,34,100
clumped,0.25,9,3,95,100
clumped,0.25,10,3,97,100
clumped,0.25,11,3,60,100
clumped,0.25,12,3,20,100
clumped,0.25,1,4,1,100
clumped,0.25,2,4,13,100
clumped,0.25,3,4,82,100
clumped,0.25,4,4,74,100
clumped,0.25,5,4,14,100
clumped,0.25,6,4,24,100
clumped,0.25,7,4,48,100
clumped,0.25,8,4,48,100
clumped,0.25,9,4,96,100
clumped,0.25,10,4,97,100
clumped,0.25,11,4,92,100
clumped,0.25,12,4,28,100
clumped,0.25,1,5,2,100
clumped,0.25,2,5,5,100
clumped,0.25,3,5,36,100
clumped,0.25,4,5,16,100
clumped,0.25,5,5,6,100
clumped,0.25,6,5,4,100
clumped,0.25,7,5,12,100
clumped,0.25,8,5,21,100
clumped,0.25,9,5,43,100
clumped,0.25,10,5,47,100
clumped,0.25,11,5,33,100
clumped,0.25,12,5,7,100
clumped,0.25,1,6,3,100
clumped,0.25,2,6,2,100
clumped,0.25,3,6,20,100
clumped,0.25,4,6,4,100
clumped,0.25,5,6,5,100
clumped,0.25,6,6,4,100
clumped,0.25,7,6,10,100
clumped,0.25,8,6,9,100
clumped,0.25,9,6,19,100
clumped,0.25,10,6,27,100
clumped,0.25,11,6,10,100
clumped,0.25,12,6,6,100
clumped,0.25,1,7,18,100
clumped,0.25,2,7,8,100
clumped,0.25,3,7,3,100
clumped,0.25,4,7,3,100
clumped,0.25,5,7,9,100
clumped,0.25,6,7,30,100
clumped,0.25,7,7,38,100
clumped,0.25,8,7,12,100
clumped,0.25,9,7,10,100
clumped,0.25,10,7,15,100
clumped,0.25,11,7,7,100
clumped,0.25,12,7,4,100
clumped,0.25,1,8,2,100
clumped,0.25,2,8,10,100
clumped,0.25,3,8,25,100
clumped,0.25,4,8,23,100
clumped,0.25,5,8,14,100
clumped,0.25,6,8,13,100
clumped,0.25,7,8,10,100
clumped,0.25,8,8,26,100
clumped,0.25,9,8,60,100
clumped,0.25,10,8,38,100
clumped,0.25,11,8,61,100
clumped,0.25,12,8,10,100
clumped,0.25,1,9,10,100
clumped,0.25,2,9,62,100
clumped,0.25,3,9,86,100
clumped,0.25,4,9,88,100
clumped,0.25,5,9,33,100
clumped,0.25,6,9,14,100
clumped,0.25,7,9,14,100
clumped,0.25,8,9,41,100
clumped,0.25,9,9,100,100
clumped,0.25,10,9,98,100
clumped,0.25,11,9,47,100
clumped,0.25,12,9,25,100
clumped,0.25,1,10,5,100
clumped,0.25,2,10,42,100
clumped,0.25,3,10,87,100
clumped,0.25,4,10,86,100
clumped,0.25,5,10,35,100
clumped,0.25,6,10,43,100
clumped,0.25,7,10,17,100
clumped,0.25,8,10,49,100
clumped,0.25,9,10,96,100
clumped,0.25,10,10,89,100
clumped,0.25,11,10,31,100
clumped,0.25,12,10,13,100
clumped,0.25,1,11,10,100
clumped,0.25,2,11,21,100
clumped,0.25,3,11,26,100
clumped,0.25,4,11,27,100
clumped,0.25,5,11,20,100
clumped,0.25,6,11,7,100
clumped,0.25,7,11,9,100
clumped,0.25,8,11,9,100
clumped,0.25,9,11,29,100
clumped,0.25,10,11,29,100
clumped,0.25,11,11,49,100
clumped,0.25,12,11,10,100
clumped,0.25,1,12,6,100
clumped,0.25,2,12,17,100
clumped,0.25,3,12,2,100
clumped,0.25,4,12,3,100
clumped,0.25,5,12,9,100
clumped,0.25,6,12,9,100
clumped,0.25,7,12,15,100
clumped,0.25,8,12,14,100
clumped,0.25,9,12,58,100
clumped,0.25,10,12,23,100
clumped,0.25,11,12,19,100
clumped,0.25,12,12,4,100
clumped,4,1,1,0,100
clumped,4,2,1,6,100
clumped,4,3,1,1,100
clumped,4,4,1,6,100
clumped,4,5,1,4,100
clumped,4,6,1,5,100
clumped,4,7,1,4,100
clumped,4,8,1,5,100
clumped,4,9,1,2,100
clumped,4,10,1,2,100
clumped,4,11,1,5,100
clumped,4,12,1,24,100
clumped,4,1,2,2,100
clumped,4,2,2,6,100
clumped,4,3,2,11,100
clumped,4,4,2,8,100
clumped,4,5,2,26,100
clumped,4,6,2,15,100
clumped,4,7,2,16,100
clumped,4,8,2,22,100
clumped,4,9,2,6,100
clumped,4,10,2,4,100
clumped,4,11,2,6,100
clumped,4,12,2,54,100
clumped,4,1,3,4,100
clumped,4,2,3,2,100
clumped,4,3,3,8,100
clumped,4,4,3,14,100
clumped,4,5,3,28,100
clumped,4,6,3,41,100
clumped,4,7,3,28,100
clumped,4,8,3,17,100
clumped,4,9,3,11,100
clumped,4,10,3,5,100
clumped,4,11,3,2,100
clumped,4,12,3,5,100
clumped,4,1,4,11,100
clumped,4,2,4,8,100
clumped,4,3,4,19,100
clumped,4,4,4,31,100
clumped,4,5,4,51,100
clumped,4,6,4,74,100
clumped,4,7,4,65,100
clumped,4,8,4,47,100
clumped,4,9,4,12,100
clumped,4,10,4,7,100
clumped,4,11,4,7,100
clumped,4,12,4,5,100
clumped,4,1,5,9,100
clumped,4,2,5,36,100
clumped,4,3,5,27,100
clumped,4,4,5,53,100
clumped,4,5,5,85,100
clumped,4,6,5,98,100
clumped,4,7,5,85,100
clumped,4,8,5,73,100
clumped,4,9,5,36,100
clumped,4,10,5,12,100
clumped,4,11,5,9,100
clumped,4,12,5,2,100
clumped,4,1,6,15,100
clumped,4,2,6,27,100
clumped,4,3,6,35,100
clumped,4,4,6,62,100
clumped,4,5,6,82,100
clumped,4,6,6,99,100
clumped,4,7,6,99,100
clumped,4,8,6,84,100
clumped,4,9,6,45,100
clumped,4,10,6,11,100
clumped,4,11,6,8,100
clumped,4,12,6,0,100
clumped,4,1,7,10,100
clumped,4,2,7,17,100
clumped,4,3,7,18,100
clumped,4,4,7,72,100
clumped,4,5,7,92,100
clumped,4,6,7,99,100
clumped,4,7,7,100,100
clumped,4,8,7,78,100
clumped,4,9,7,42,100
clumped,4,10,7,12,100
clumped,4,11,7,7,100
clumped,4,12,7,3,100
clumped,4,1,8,8,100
clumped,4,2,8,5,100
clumped,4,3,8,38,100
clumped,4,4,8,65,100
clumped,4,5,8,97,100
clumped,4,6,8,91,100
clumped,4,7,8,64,100
clumped,4,8,8,56,100
clumped,4,9,8,34,100
clumped,4,10,8,16,100
clumped,4,11,8,14,100
clumped,4,12,8,1,100
clumped,4,1,9,10,100
clumped,4,2,9,7,100
clumped,4,3,9,23,100
clumped,4,4,9,62,100
clumped,4,5,9,78,100
clumped,4,6,9,60,100
clumped,4,7,9,52,100
clumped,4,8,9,38,100
clumped,4,9,9,24,100
clumped,4,10,9,6,100
clumped,4,11,9,6,100
clumped,4,12,9,1,100
clumped,4,1,10,12,100
clumped,4,2,10,7,100
clumped,4,3,10,11,100
clumped,4,4,10,32,100
clumped,4,5,10,52,100
clumped,4,6,10,41,100
clumped,4,7,10,22,100
clumped,4,8,10,19,100
clumped,4,9,10,20,100
clumped,4,10,10,7,100
clumped,4,11,10,9,100
clumped,4,12,10,4,100
clumped,4,1,11,2,100
clumped,4,2,11,8,100
clumped,4,3,11,8,100
clumped,4,4,11,18,100
clumped,4,5,11,15,100
clumped,4,6,11,37,100
clumped,4,7,11,21,100
clumped,4,8,11,14,100
clumped,4,9,11,5,100
clumped,4,10,11,3,100
clumped,4,11,11,4,100
clumped,4,12,11,2,100
clumped,4,1,12,2,100
clumped,4,2,12,7,100
clumped,4,3,12,3,100
clumped,4,4,12,16,100
clumped,4,5,12,20,100
clumped,4,6,12,25,100
clumped,4,7,12,16,100
clumped,4,8,12,6,100
clumped,4,9,12,14,100
clumped,4,10,12,0,100
clumped,4,11,12,0,100
clumped,4,12,12,1,100
random,0.25,1,1,2,100
random,0.25,2,1,2,100
random,0.25,3,1,0,100
random,0.25,4,1,3,100
random,0.25,5,1,1,100
random,0.25,6,1,1,100
random,0.25,7,1,1,100
random,0.25,8,1,5,100
random,0.25,9,1,22,100
random,0.25,10,1,13,100
random,0.25,11,1,14,100
random,0.25,12,1,6,100
random,0.25,1,2,2,100
random,0.25,2,2,0,100
random,0.25,3,2,0,100
random,0.25,4,2,3,100
random,0.25,5,2,0,100
random,0.25,6,2,2,100
random,0.25,7,2,7,100
random,0.25,8,2,54,100
random,0.25,9,2,57,100
random,0.25,10,2,49,100
random,0.25,11,2,42,100
random,0.25,12,2,2,100
random,0.25,1,3,3,100
random,0.25,2,3,1,100
random,0.25,3,3,0,100
random,0.25,4,3,1,100
random,0.25,5,3,0,100
random,0.25,6,3,9,100
random,0.25,7,3,6,100
random,0.25,8,3,62,100
random,0.25,9,3,94,100
random,0.25,10,3,75,100
random,0.25,11,3,7,100
random,0.25,12,3,2,100
random,0.25,1,4,33,100
random,0.25,2,4,3,100
random,0.25,3,4,0,100
random,0.25,4,4,2,100
random,0.25,5,4,0,100
random,0.25,6,4,20,100
random,0.25,7,4,25,100
random,0.25,8,4,79,100
random,0.25,9,4,95,100
random,0.25,10,4,32,100
random,0.25,11,4,12,100
random,0.25,12,4,2,100
random,0.25,1,5,4,100
random,0.25,2,5,1,100
random,0.25,3,5,3,100
random,0.25,4,5,2,100
random,0.25,5,5,6,100
random,0.25,6,5,23,100
random,0.25,7,5,14,100
random,0.25,8,5,64,100
random,0.25,9,5,31,100
random,0.25,10,5,9,100
random,0.25,11,5,13,100
random,0.25,12,5,16,100
random,0.25,1,6,0,100
random,0.25,2,6,2,100
random,0.25,3,6,1,100
random,0.25,4,6,4,100
random,0.25,5,6,4,100
random,0.25,6,6,5,100
random,0.25,7,6,4,100
random,0.25,8,6,9,100
random,0.25,9,6,10,100
random,0.25,10,6,19,100
random,0.25,11,6,6,100
random,0.25,12,6,1,100
random,0.25,1,7,0,100
random,0.25,2,7,7,100
random,0.25,3,7,7,100
random,0.25,4,7,9,100
random,0.25,5,7,4,100
random,0.25,6,7,12,100
random,0.25,7,7,7,100
random,0.25,8,7,7,100
random,0.25,9,7,12,100
random,0.25,10,7,13,100
random,0.25,11,7,11,100
random,0.25,12,7,2,100
random,0.25,1,8,0,100
random,0.25,2,8,2,100
random,0.25,3,8,11,100
random,0.25,4,8,19,100
random,0.25,5,8,12,100
random,0.25,6,8,32,100
random,0.25,7,8,11,100
random,0.25,8,8,9,100
random,0.25,9,8,31,100
random,0.25,10,8,67,100
random,0.25,11,8,27,100
random,0.25,12,8,30,100
random,0.25,1,9,5,100
random,0.25,2,9,10,100
random,0.25,3,9,35,100
random,0.25,4,9,56,100
random,0.25,5,9,62,100
random,0.25,6,9,45,100
random,0.25,7,9,21,100
random,0.25,8,9,18,100
random,0.25,9,9,43,100
random,0.25,10,9,94,100
random,0.25,11,9,77,100
random,0.25,12,9,33,100
random,0.25,1,10,11,100
random,0.25,2,10,24,100
random,0.25,3,10,78,100
random,0.25,4,10,100,100
random,0.25,5,10,99,100
random,0.25,6,10,68,100
random,0.25,7,10,52,100
random,0.25,8,10,45,100
random,0.25,9,10,74,100
random,0.25,10,10,98,100
random,0.25,11,10,99,100
random,0.25,12,10,37,100
random,0.25,1,11,7,100
random,0.25,2,11,29,100
random,0.25,3,11,79,100
random,0.25,4,11,97,100
random,0.25,5,11,92,100
random,0.25,6,11,95,100
random,0.25,7,11,100,100
random,0.25,8,11,89,100
random,0.25,9,11,53,100
random,0.25,10,11,46,100
random,0.25,11,11,50,100
random,0.25,12,11,16,100
random,0.25,1,12,7,100
random,0.25,2,12,22,100
random,0.25,3,12,31,100
random,0.25,4,12,50,100
random,0.25,5,12,56,100
random,0.25,6,12,79,100
random,0.25,7,12,100,100
random,0.25,8,12,61,100
random,0.25,9,12,53,100
random,0.25,10,12,36,100
random,0.25,11,12,33,100
random,0.25,12,12,2,100
random,4,1,1,2,100
random,4,2,1,2,100
random,4,3,1,12,100
random,4,4,1,15,100
random,4,5,1,25,100
random,4,6,1,34,100
random,4,7,1,10,100
random,4,8,1,24,100
random,4,9,1,13,100
random,4,10,1,1,100
random,4,11,1,1,100
random,4,12,1,0,100
random,4,1,2,4,100
random,4,2,2,21,100
random,4,3,2,31,100
random,4,4,2,36,100
random,4,5,2,71,100
random,4,6,2,61,100
random,4,7,2,27,100
random,4,8,2,37,100
random,4,9,2,47,100
random,4,10,2,12,100
random,4,11,2,2,100
random,4,12,2,0,100
random,4,1,3,5,100
random,4,2,3,21,100
random,4,3,3,16,100
random,4,4,3,43,100
random,4,5,3,87,100
random,4,6,3,80,100
random,4,7,3,27,100
random,4,8,3,18,100
random,4,9,3,16,100
random,4,10,3,21,100
random,4,11,3,3,100
random,4,12,3,4,100
random,4,1,4,9,100
random,4,2,4,8,100
random,4,3,4,15,100
random,4,4,4,23,100
random,4,5,4,42,100
random,4,6,4,57,100
random,4,7,4,15,100
random,4,8,4,12,100
random,4,9,4,8,100
random,4,10,4,2,100
random,4,11,4,2,100
random,4,12,4,1,100
random,4,1,5,3,100
random,4,2,5,6,100
random,4,3,5,9,100
random,4,4,5,24,100
random,4,5,5,26,100
random,4,6,5,14,100
random,4,7,5,16,100
random,4,8,5,10,100
random,4,9,5,5,100
random,4,10,5,4,100
random,4,11,5,2,100
random,4,12,5,2,100
random,4,1,6,7,100
random,4,2,6,13,100
random,4,3,6,17,100
random,4,4,6,23,100
random,4,5,6,13,100
random,4,6,6,9,100
random,4,7,6,9,100
random,4,8,6,5,100
random,4,9,6,1,100
random,4,10,6,14,100
random,4,11,6,12,100
random,4,12,6,13,100
random,4,1,7,31,100
random,4,2,7,38,100
random,4,3,7,34,100
random,4,4,7,25,100
random,4,5,7,14,100
random,4,6,7,16,100
random,4,7,7,14,100
random,4,8,7,5,100
random,4,9,7,3,100
random,4,10,7,11,100
random,4,11,7,8,100
random,4,12,7,4,100
random,4,1,8,50,100
random,4,2,8,59,100
random,4,3,8,75,100
random,4,4,8,64,100
random,4,5,8,43,100
random,4,6,8,25,100
random,4,7,8,21,100
random,4,8,8,27,100
random,4,9,8,12,100
random,4,10,8,22,100
random,4,11,8,9,100
random,4,12,8,5,100
random,4,1,9,70,100
random,4,2,9,98,100
random,4,3,9,99,100
random,4,4,9,97,100
random,4,5,9,65,100
random,4,6,9,35,100
random,4,7,9,19,100
random,4,8,9,25,100
random,4,9,9,8,100
random,4,10,9,8,100
random,4,11,9,8,100
random,4,12,9,1,100
random,4,1,10,55,100
random,4,2,10,90,100
random,4,3,10,88,100
random,4,4,10,80,100
random,4,5,10,83,100
random,4,6,10,56,100
random,4,7,10,55,100
random,4,8,10,23,100
random,4,9,10,11,100
random,4,10,10,17,100
random,4,11,10,1,100
random,4,12,10,0,100
random,4,1,11,59,100
random,4,2,11,66,100
random,4,3,11,57,100
random,4,4,11,38,100
random,4,5,11,75,100
random,4,6,11,87,100
random,4,7,11,41,100
random,4,8,11,13,100
random,4,9,11,6,100
random,4,10,11,3,100
random,4,11,11,1,100
random,4,12,11,2,100
random,4,1,12,24,100
random,4,2,12,24,100
random,4,3,12,28,100
random,4,4,12,25,100
random,4,5,12,38,100
random,4,6,12,58,100
random,4,7,12,27,100
random,4,8,12,6,100
random,4,9,12,1,100
random,4,10,12,4,100
random,4,11,12,4,100
random,4,12,12,1,100
regular,0.25,1,1,2,100
regular,0.25,2,1,1,100
regular,0.25,3,1,7,100
regular,0.25,4,1,4,100
regular,0.25,5,1,3,100
regular,0.25,6,1,3,100
regular,0.25,7,1,1,100
regular,0.25,8,1,12,100
regular,0.25,9,1,32,100
regular,0.25,10,1,35,100
regular,0.25,11,1,6,100
regular,0.25,12,1,6,100
regular,0.25,1,2,5,100
regular,0.25,2,2,5,100
regular,0.25,3,2,20,100
regular,0.25,4,2,24,100
regular,0.25,5,2,37,100
regular,0.25,6,2,9,100
regular,0.25,7,2,2,100
regular,0.25,8,2,24,100
regular,0.25,9,2,72,100
regular,0.25,10,2,61,100
regular,0.25,11,2,22,100
regular,0.25,12,2,3,100
regular,0.25,1,3,11,100
regular,0.25,2,3,25,100
regular,0.25,3,3,75,100
regular,0.25,4,3,69,100
regular,0.25,5,3,35,100
regular,0.25,6,3,15,100
regular,0.25,7,3,34,100
regular,0.25,8,3,34,100
regular,0.25,9,3,95,100
regular,0.25,10,3,97,100
regular,0.25,11,3,60,100
regular,0.25,12,3,20,100
regular,0.25,1,4,1,100
regular,0.25,2,4,13,100
regular,0.25,3,4,82,100
regular,0.25,4,4,74,100
regular,0.25,5,4,14,100
regular,0.25,6,4,24,100
regular,0.25,7,4,48,100
regular,0.25,8,4,48,100
regular,0.25,9,4,96,100
regular,0.25,10,4,97,100
regular,0.25,11,4,92,100
regular,0.25,12,4,28,100
regular,0.25,1,5,2,100
regular,0.25,2,5,5,100
regular,0.25,3,5,36,100
regular,0.25,4,5,16,100
regular,0.25,5,5,6,100
regular,0.25,6,5,4,100
regular,0.25,7,5,12,100
regular,0.25,8,5,21,100
regular,0.25,9,5,43,100
regular,0.25,10,5,47,100
regular,0.25,11,5,33,100
regular,0.25,12,5,7,100
regular,0.25,1,6,3,100
regular,0.25,2,6,2,100
regular,0.25,3,6,20,100
regular,0.25,4,6,4,100
regular,0.25,5,6,5,100
regular,0.25,6,6,4,100
regular,0.25,7,6,10,100
regular,0.25,8,6,9,100
regular,0.25,9,6,19,100
regular,0.25,10,6,27,100
regular,0.25,11,6,10,100
regular,0.25,12,6,6,100
regular,0.25,1,7,18,100
regular,0.25,2,7,8,100
regular,0.25,3,7,3,100
regular,0.25,4,7,3,100
regular,0.25,5,7,9,100
regular,0.25,6,7,30,100
regular,0.25,7,7,38,100
regular,0.25,8,7,12,100
regular,0.25,9,7,10,100
regular,0.25,10,7,15,100
regular,0.25,11,7,7,100
regular,0.25,12,7,4,100
regular,0.25,1,8,2,100
regular,0.25,2,8,10,100
regular,0.25,3,8,25,100
regular,0.25,4,8,23,100
regular,0.25,5,8,14,100
regular,0.25,6,8,13,100
regular,0.25,7,8,10,100
regular,0.25,8,8,26,100
regular,0.25,9,8,60,100
regular,0.25,10,8,38,100
regular,0.25,11,8,61,100
regular,0.25,12,8,10,100
regular,0.25,1,9,10,100
regular,0.25,2,9,62,100
regular,0.25,3,9,86,100
regular,0.25,4,9,88,100
regular,0.25,5,9,33,100
regular,0.25,6,9,14,100
regular,0.25,7,9,14,100
regular,0.25,8,9,41,100
regular,0.25,9,9,100,100
regular,0.25,10,9,98,100
regular,0.25,11,9,47,100
regular,0.25,12,9,25,100
regular,0.25,1,10,5,100
regular,0.25,2,10,42,100
regular,0.25,3,10,87,100
regular,0.25,4,10,86,100
regular,0.25,5,10,35,100
regular,0.25,6,10,43,100
regular,0.25,7,10,17,100
regular,0.25,8,10,49,100
regular,0.25,9,10,96,100
regular,0.25,10,10,89,100
regular,0.25,11,10,31,100
regular,0.25,12,10,13,100
regular,0.25,1,11,10,100
regular,0.25,2,11,21,100
regular,0.25,3,11,26,100
regular,0.25,4,11,27,100
regular,0.25,5,11,20,100
regular,0.25,6,11,7,100
regular,0.25,7,11,9,100
regular,0.25,8,11,9,100
regular,0.25,9,11,29,100
regular,0.25,10,11,29,100
regular,0.25,11,11,49,100
regular,0.25,12,11,10,100
regular,0.25,1,12,6,100
regular,0.25,2,12,17,100
regular,0.25,3,12,2,100
regular,0.25,4,12,3,100
regular,0.25,5,12,9,100
regular,0.25,6,12,9,100
regular,0.25,7,12,15,100
regular,0.25,8,12,14,100
regular,0.25,9,12,58,100
regular,0.25,10,12,23,100
regular,0.25,11,12,19,100
regular,0.25,12,12,4,100
regular,4,1,1,5,100
regular,4,2,1,20,100
regular,4,3,1,24,100
regular,4,4,1,30,100
regular,4,5,1,18,100
regular,4,6,1,15,100
regular,4,7,1,9,100
regular,4,8,1,8,100
regular,4,9,1,24,100
regular,4,10,1,25,100
regular,4,11,1,7,100
regular,4,12,1,5,100
regular,4,1,2,13,100
regular,4,2,2,56,100
regular,4,3,2,79,100
regular,4,4,2,58,100
regular,4,5,2,29,100
regular,4,6,2,14,100
regular,4,7,2,18,100
regular,4,8,2,18,100
regular,4,9,2,45,100
regular,4,10,2,34,100
regular,4,11,2,12,100
regular,4,12,2,1,100
regular,4,1,3,23,100
regular,4,2,3,59,100
regular,4,3,3,96,100
regular,4,4,3,80,100
regular,4,5,3,37,100
regular,4,6,3,19,100
regular,4,7,3,24,100
regular,4,8,3,45,100
regular,4,9,3,88,100
regular,4,10,3,66,100
regular,4,11,3,23,100
regular,4,12,3,19,100
regular,4,1,4,14,100
regular,4,2,4,35,100
regular,4,3,4,73,100
regular,4,4,4,86,100
regular,4,5,4,41,100
regular,4,6,4,23,100
regular,4,7,4,18,100
regular,4,8,4,42,100
regular,4,9,4,75,100
regular,4,10,4,69,100
regular,4,11,4,28,100
regular,4,12,4,9,100
regular,4,1,5,13,100
regular,4,2,5,19,100
regular,4,3,5,41,100
regular,4,4,5,40,100
regular,4,5,5,40,100
regular,4,6,5,17,100
regular,4,7,5,16,100
regular,4,8,5,29,100
regular,4,9,5,51,100
regular,4,10,5,25,100
regular,4,11,5,28,100
regular,4,12,5,26,100
regular,4,1,6,12,100
regular,4,2,6,20,100
regular,4,3,6,22,100
regular,4,4,6,10,100
regular,4,5,6,37,100
regular,4,6,6,9,100
regular,4,7,6,9,100
regular,4,8,6,31,100
regular,4,9,6,18,100
regular,4,10,6,11,100
regular,4,11,6,17,100
regular,4,12,6,8,100
regular,4,1,7,30,100
regular,4,2,7,15,100
regular,4,3,7,11,100
regular,4,4,7,14,100
regular,4,5,7,21,100
regular,4,6,7,8,100
regular,4,7,7,8,100
regular,4,8,7,15,100
regular,4,9,7,13,100
regular,4,10,7,11,100
regular,4,11,7,6,100
regular,4,12,7,7,100
regular,4,1,8,36,100
regular,4,2,8,52,100
regular,4,3,8,29,100
regular,4,4,8,27,100
regular,4,5,8,19,100
regular,4,6,8,12,100
regular,4,7,8,7,100
regular,4,8,8,18,100
regular,4,9,8,19,100
regular,4,10,8,31,100
regular,4,11,8,23,100
regular,4,12,8,6,100
regular,4,1,9,32,100
regular,4,2,9,47,100
regular,4,3,9,55,100
regular,4,4,9,43,100
regular,4,5,9,13,100
regular,4,6,9,9,100
regular,4,7,9,15,100
regular,4,8,9,15,100
regular,4,9,9,61,100
regular,4,10,9,80,100
regular,4,11,9,29,100
regular,4,12,9,16,100
regular,4,1,10,8,100
regular,4,2,10,18,100
regular,4,3,10,62,100
regular,4,4,10,75,100
regular,4,5,10,25,100
regular,4,6,10,26,100
regular,4,7,10,24,100
regular,4,8,10,36,100
regular,4,9,10,72,100
regular,4,10,10,70,100
regular,4,11,10,23,100
regular,4,12,10,6,100
regular,4,1,11,4,100
regular,4,2,11,3,100
regular,4,3,11,8,100
regular,4,4,11,19,100
regular,4,5,11,27,100
regular,4,6,11,21,100
regular,4,7,11,41,100
regular,4,8,11,50,100
regular,4,9,11,53,100
regular,4,10,11,34,100
regular,4,11,11,15,100
regular,4,12,11,4,100
regular,4,1,12,2,100
regular,4,2,12,3,100
regular,4,3,12,5,100
regular,4,4,12,6,100
regular,4,5,12,5,100
regular,4,6,12,4,100
regular,4,7,12,9,100
regular,4,8,12,24,100
regular,4,9,12,32,100
regular,4,10,12,47,100
regular,4,11,12,17,100
regular,4,12,12,3,100
